7.3164,6.045,4.5646,2.3731
6.0968,5.0781,3.4097,2.145
8.6884,4.3249,3.8325,3.0887
7.0463,5.3474,3.4729,3.4012
6.3919,4.6354,3.4598,2.7555
6.7685,3.8631,3.2882,3.0234
6.4847,4.4711,3.5623,2.6219
7.6488,4.0548,3.5531,3.5267
6.3138,5.5527,3.8803,2.901
6.6411,5.0128,3.6231,2.7489
7.2859,4.8633,3.5801,2.9191
7.2996,5.0003,3.7198,2.5405
6.9767,4.8643,3.8496,2.7752
6.6966,5.5638,3.8741,2.3209
5.7644,3.8975,3.4105,3.0394
6.507,4.3664,3.5064,3.1206
7.4133,4.791,3.8157,2.7685
6.2768,5.2508,4.2715,2.1943
6.3442,4.8484,3.8472,2.7027
7.1854,5.0115,4.1454,2.424
8.1004,4.7512,3.9375,2.4333
7.6275,4.4935,3.3261,2.8127
6.818,4.3307,3.898,2.2576
5.9153,4.4936,3.3134,2.7209
5.8572,4.7495,4.2505,2.198
5.1728,4.5675,2.7066,2.3788
5.3465,5.3275,2.9975,1.8937
4.7903,4.8013,3.1565,1.442
4.6338,4.5134,2.773,2.128
5.4633,4.78,2.9955,1.527
5.4528,4.8007,2.9849,1.7215
5.5934,4.9256,2.7392,1.9208
4.9358,4.8801,2.7013,2.1639
4.9745,4.8375,2.8545,2.6318
5.4097,5.0525,2.8567,1.9692
5.347,4.1898,2.6414,2.2293
4.7253,4.5045,2.797,1.8905
5.0422,4.6402,2.6934,2.2577
5.2892,4.4902,2.8468,1.705
5.8958,4.6648,2.6177,2.3805
4.8949,4.9884,2.8423,1.595
5.3446,4.9174,2.8208,2.0987
5.1441,4.2987,2.5169,2.1181
4.6061,4.9061,2.945,1.5884
4.5588,5.1129,2.7978,1.9428
4.7617,4.5459,2.909,1.7154
5.3869,4.4855,2.7614,2.0888
5.3806,4.9672,3.2684,1.775
5.0836,4.9016,2.7041,1.9009
5.517,4.9006,3.0365,1.7722
10.24,6.7465,6.6737,6.0623
10.21,6.6539,6.6304,6.53
15.536,7.5243,5.8192,6.499
7.4092,7.7992,4.5841,4.1194
13.973,5.6868,12.734,7.5631
7.6634,5.2546,4.158,3.7279
14.535,5.9312,7.6542,6.6807
8.6179,5.1567,4.6954,3.8819
7.412,4.3114,4.5658,4.4673
8.4255,4.2391,4.0183,4.2985
8.8948,4.9646,4.1565,3.8611
9.9162,4.648,4.7411,5.1667
7.3478,4.6129,3.6705,4.0769
9.0167,4.1786,4.608,4.1116
7.3001,5.3408,3.7411,2.9689
9.2842,5.8567,4.2441,3.8272
8.9472,5.1055,5.3425,3.9973
8.9494,4.6022,4.5245,3.1336
6.3224,2.4321,3.8873,4.1591
6.808,0,0.074815,0.00041006
6.5943,12.048,3.0841,3.0292
11.259,5.4334,4.9132,4.0325
23.08,4.8603,5.064,4.558
6.3701,8.7221,3.401,3.9303
5.2973,0,1.9015,2.6367
4.1287,7.2941,8.1032,1.3765
7.2528,4.2898,2.599,2.4897
7.803,5.0214,2.9473,2.0305
6.2082,5.0396,2.3733,2.5863
7.0991,5.2299,2.7184,1.9252
6.7525,5.456,2.58,1.5724
7.0072,4.5028,2.5499,1.7653
7.0177,6.177,2.8327,1.3245
6.9244,6.0716,3.4902,1.8496
7.7071,6.1452,3.4934,3.2964
5.4879,6.9939,3.2693,1.9471
3.8267,9.2458,3.6739,2.6685
4.1941,9.7131,33.643,7.583
3.9376,8.6331,0,10.518
4.1596,9.3678,23.287,9.9524
3.4033,9.7889,45.03,10.441
2.2787,9.1266,0,12.52
27.657,8.4763,45.787,11.878
26.24,8.0768,42.372,12.158
24.459,7.798,0,12.802
24.274,7.7362,43.558,11.815
19.295,7.1428,14.832,8.8979
20.045,7.9473,43.9,12.227
20.449,6.6118,41.423,10.566
18.918,7.6827,16.317,9.0465
10.395,5.2741,5.0169,4.1697
9.2441,6.1538,5.8304,4.264
11.379,5.5923,5.8832,5.1456
10.259,4.9186,4.9605,4.2785
11.315,5.0448,5.08,4.1603
6.8685,4.7455,3.492,2.7151
12.14,5.8391,6.016,5.5689
7.6175,3.6403,2.9594,4.6303
10.437,5.1054,3.4639,3.5959
7.7725,4.4625,3.5075,3.4367
6.2091,4.7195,3.1984,2.4397
6.1177,4.5192,3.1617,2.74
7.5715,4.2128,3.1855,3.327
6.9622,4.4883,3.6686,3.7421
9.3906,5.8346,5.0327,5.2713
6.1668,4.9057,3.2681,2.6952
6.1327,4.0229,3.4628,2.8946
7.3924,5.0862,3.7766,2.9757
7.5147,3.8447,3.3448,3.0806
7.2828,4.8685,5.0695,3.651
9.4124,4.7977,4.5276,4.5756
7.0022,4.7938,3.2462,2.5531
